This date, then the wip was;WIP;This date, then the baclog was;Backlog
Tue Jun 29 00:00:00 CEST 2010;92;Fri Jun 25 00:00:00 CEST 2010;160
Wed Jun 30 00:00:00 CEST 2010;89;Mon Jun 28 00:00:00 CEST 2010;161
Thu Jul 01 00:00:00 CEST 2010;88;Tue Jun 29 00:00:00 CEST 2010;156
Fri Jul 02 00:00:00 CEST 2010;86;Wed Jun 30 00:00:00 CEST 2010;157
Mon Jul 05 00:00:00 CEST 2010;85;Thu Jul 01 00:00:00 CEST 2010;152
Tue Jul 06 00:00:00 CEST 2010;83;Fri Jul 02 00:00:00 CEST 2010;146
Wed Jul 07 00:00:00 CEST 2010;85;Mon Jul 05 00:00:00 CEST 2010;145
Thu Jul 08 00:00:00 CEST 2010;81;Tue Jul 06 00:00:00 CEST 2010;147
Fri Jul 09 00:00:00 CEST 2010;93;Wed Jul 07 00:00:00 CEST 2010;151
Mon Jul 12 00:00:00 CEST 2010;91;Thu Jul 08 00:00:00 CEST 2010;163
Tue Jul 13 00:00:00 CEST 2010;94;Fri Jul 09 00:00:00 CEST 2010;171
Wed Jul 14 00:00:00 CEST 2010;93;Sun Jul 11 00:00:00 CEST 2010;159
Thu Jul 15 00:00:00 CEST 2010;89;Mon Jul 12 00:00:00 CEST 2010;166
Fri Jul 16 00:00:00 CEST 2010;80;Tue Jul 13 00:00:00 CEST 2010;162
Mon Jul 19 00:00:00 CEST 2010;74;Wed Jul 14 00:00:00 CEST 2010;159
Tue Jul 20 00:00:00 CEST 2010;82;Fri Jul 16 00:00:00 CEST 2010;151
Wed Jul 21 00:00:00 CEST 2010;80;Mon Jul 19 00:00:00 CEST 2010;154
Thu Jul 22 00:00:00 CEST 2010;76;Tue Jul 20 00:00:00 CEST 2010;161
Fri Jul 23 00:00:00 CEST 2010;75;Wed Jul 21 00:00:00 CEST 2010;155
Tue Jul 27 00:00:00 CEST 2010;71;Thu Jul 22 00:00:00 CEST 2010;157
Wed Jul 28 00:00:00 CEST 2010;73;Fri Jul 23 00:00:00 CEST 2010;155
Thu Jul 29 00:00:00 CEST 2010;73;Tue Jul 27 00:00:00 CEST 2010;156
Fri Jul 30 00:00:00 CEST 2010;77;Wed Jul 28 00:00:00 CEST 2010;158
Mon Aug 02 00:00:00 CEST 2010;69;Thu Jul 29 00:00:00 CEST 2010;156
Tue Aug 03 00:00:00 CEST 2010;70;Fri Jul 30 00:00:00 CEST 2010;155
Wed Aug 04 00:00:00 CEST 2010;68;Mon Aug 02 00:00:00 CEST 2010;152
Thu Aug 05 00:00:00 CEST 2010;67;Tue Aug 03 00:00:00 CEST 2010;152
Fri Aug 06 00:00:00 CEST 2010;62;Wed Aug 04 00:00:00 CEST 2010;155
Tue Aug 10 00:00:00 CEST 2010;65;Thu Aug 05 00:00:00 CEST 2010;157
Wed Aug 11 00:00:00 CEST 2010;65;Fri Aug 06 00:00:00 CEST 2010;157
Thu Aug 12 00:00:00 CEST 2010;62;Tue Aug 10 00:00:00 CEST 2010;161
Fri Aug 13 00:00:00 CEST 2010;65;Wed Aug 11 00:00:00 CEST 2010;156
Mon Aug 16 00:00:00 CEST 2010;61;Thu Aug 12 00:00:00 CEST 2010;158
Tue Aug 17 00:00:00 CEST 2010;67;Fri Aug 13 00:00:00 CEST 2010;160
Wed Aug 18 00:00:00 CEST 2010;65;Mon Aug 16 00:00:00 CEST 2010;170
Thu Aug 19 00:00:00 CEST 2010;64;Tue Aug 17 00:00:00 CEST 2010;172
Mon Aug 23 00:00:00 CEST 2010;64;Wed Aug 18 00:00:00 CEST 2010;177
Tue Aug 24 00:00:00 CEST 2010;67;Thu Aug 19 00:00:00 CEST 2010;178
Wed Aug 25 00:00:00 CEST 2010;70;Mon Aug 23 00:00:00 CEST 2010;185
Thu Aug 26 00:00:00 CEST 2010;68;Tue Aug 24 00:00:00 CEST 2010;186
Fri Aug 27 00:00:00 CEST 2010;75;Wed Aug 25 00:00:00 CEST 2010;189
Mon Aug 30 00:00:00 CEST 2010;93;Thu Aug 26 00:00:00 CEST 2010;185
Tue Aug 31 00:00:00 CEST 2010;115;Fri Aug 27 00:00:00 CEST 2010;211
Wed Sep 01 00:00:00 CEST 2010;101;Sun Aug 29 00:00:00 CEST 2010;201
Thu Sep 02 00:00:00 CEST 2010;87;Mon Aug 30 00:00:00 CEST 2010;213
Fri Sep 03 00:00:00 CEST 2010;80;Tue Aug 31 00:00:00 CEST 2010;198
Mon Sep 06 00:00:00 CEST 2010;88;Wed Sep 01 00:00:00 CEST 2010;176
Tue Sep 07 00:00:00 CEST 2010;106;Thu Sep 02 00:00:00 CEST 2010;189
Wed Sep 08 00:00:00 CEST 2010;109;Fri Sep 03 00:00:00 CEST 2010;184
Thu Sep 09 00:00:00 CEST 2010;110;Mon Sep 06 00:00:00 CEST 2010;185
Fri Sep 10 00:00:00 CEST 2010;105;Tue Sep 07 00:00:00 CEST 2010;212
Sat Sep 11 00:00:00 CEST 2010;92;Wed Sep 08 00:00:00 CEST 2010;242
Mon Sep 13 00:00:00 CEST 2010;98;Thu Sep 09 00:00:00 CEST 2010;283
Tue Sep 14 00:00:00 CEST 2010;114;Fri Sep 10 00:00:00 CEST 2010;287
Wed Sep 15 00:00:00 CEST 2010;117;Sat Sep 11 00:00:00 CEST 2010;275
Thu Sep 16 00:00:00 CEST 2010;133;Mon Sep 13 00:00:00 CEST 2010;307
Fri Sep 17 00:00:00 CEST 2010;134;Tue Sep 14 00:00:00 CEST 2010;311
Sat Sep 18 00:00:00 CEST 2010;109;Wed Sep 15 00:00:00 CEST 2010;331
Mon Sep 20 00:00:00 CEST 2010;114;Thu Sep 16 00:00:00 CEST 2010;332
Tue Sep 21 00:00:00 CEST 2010;125;Fri Sep 17 00:00:00 CEST 2010;313
Wed Sep 22 00:00:00 CEST 2010;128;Sat Sep 18 00:00:00 CEST 2010;297
Thu Sep 23 00:00:00 CEST 2010;133;Mon Sep 20 00:00:00 CEST 2010;326
Fri Sep 24 00:00:00 CEST 2010;142;Tue Sep 21 00:00:00 CEST 2010;312
Mon Sep 27 00:00:00 CEST 2010;119;Wed Sep 22 00:00:00 CEST 2010;306
Tue Sep 28 00:00:00 CEST 2010;142;Thu Sep 23 00:00:00 CEST 2010;311
Wed Sep 29 00:00:00 CEST 2010;145;Fri Sep 24 00:00:00 CEST 2010;302
Thu Sep 30 00:00:00 CEST 2010;129;Mon Sep 27 00:00:00 CEST 2010;291
Fri Oct 01 00:00:00 CEST 2010;122;Tue Sep 28 00:00:00 CEST 2010;291
Mon Oct 04 00:00:00 CEST 2010;124;Wed Sep 29 00:00:00 CEST 2010;301
Tue Oct 05 00:00:00 CEST 2010;137;Thu Sep 30 00:00:00 CEST 2010;291
Wed Oct 06 00:00:00 CEST 2010;147;Fri Oct 01 00:00:00 CEST 2010;313
Thu Oct 07 00:00:00 CEST 2010;152;Mon Oct 04 00:00:00 CEST 2010;335
Fri Oct 08 00:00:00 CEST 2010;139;Tue Oct 05 00:00:00 CEST 2010;323
Sun Oct 10 00:00:00 CEST 2010;112;Wed Oct 06 00:00:00 CEST 2010;352
Mon Oct 11 00:00:00 CEST 2010;134;Thu Oct 07 00:00:00 CEST 2010;348
Tue Oct 12 00:00:00 CEST 2010;161;Fri Oct 08 00:00:00 CEST 2010;335
Wed Oct 13 00:00:00 CEST 2010;160;Sun Oct 10 00:00:00 CEST 2010;320
Thu Oct 14 00:00:00 CEST 2010;170;Mon Oct 11 00:00:00 CEST 2010;336
Fri Oct 15 00:00:00 CEST 2010;175;Tue Oct 12 00:00:00 CEST 2010;326
Sat Oct 16 00:00:00 CEST 2010;140;Wed Oct 13 00:00:00 CEST 2010;325
Mon Oct 18 00:00:00 CEST 2010;156;Thu Oct 14 00:00:00 CEST 2010;340
Tue Oct 19 00:00:00 CEST 2010;180;Fri Oct 15 00:00:00 CEST 2010;315
Wed Oct 20 00:00:00 CEST 2010;177;Sat Oct 16 00:00:00 CEST 2010;301
Thu Oct 21 00:00:00 CEST 2010;183;Mon Oct 18 00:00:00 CEST 2010;313
Fri Oct 22 00:00:00 CEST 2010;162;Tue Oct 19 00:00:00 CEST 2010;332
Mon Oct 25 00:00:00 CEST 2010;141;Wed Oct 20 00:00:00 CEST 2010;327
Tue Oct 26 00:00:00 CEST 2010;159;Thu Oct 21 00:00:00 CEST 2010;331
Wed Oct 27 00:00:00 CEST 2010;170;Fri Oct 22 00:00:00 CEST 2010;319
Thu Oct 28 00:00:00 CEST 2010;165;Sat Oct 23 00:00:00 CEST 2010;304
Fri Oct 29 00:00:00 CEST 2010;146;Mon Oct 25 00:00:00 CEST 2010;329
Mon Nov 01 00:00:00 CET 2010;129;Tue Oct 26 00:00:00 CEST 2010;323
Tue Nov 02 00:00:00 CET 2010;139;Wed Oct 27 00:00:00 CEST 2010;320
Wed Nov 03 00:00:00 CET 2010;137;Thu Oct 28 00:00:00 CEST 2010;300
Thu Nov 04 00:00:00 CET 2010;133;Fri Oct 29 00:00:00 CEST 2010;309
Fri Nov 05 00:00:00 CET 2010;130;Mon Nov 01 00:00:00 CET 2010;305
Mon Nov 08 00:00:00 CET 2010;112;Tue Nov 02 00:00:00 CET 2010;312
Tue Nov 09 00:00:00 CET 2010;139;Wed Nov 03 00:00:00 CET 2010;313
Wed Nov 10 00:00:00 CET 2010;165;Thu Nov 04 00:00:00 CET 2010;305
Thu Nov 11 00:00:00 CET 2010;168;Fri Nov 05 00:00:00 CET 2010;296
Fri Nov 12 00:00:00 CET 2010;166;Mon Nov 08 00:00:00 CET 2010;299
Mon Nov 15 00:00:00 CET 2010;165;Tue Nov 09 00:00:00 CET 2010;317
Tue Nov 16 00:00:00 CET 2010;195;Wed Nov 10 00:00:00 CET 2010;323
Wed Nov 17 00:00:00 CET 2010;178;Thu Nov 11 00:00:00 CET 2010;332
Thu Nov 18 00:00:00 CET 2010;178;Fri Nov 12 00:00:00 CET 2010;337
Fri Nov 19 00:00:00 CET 2010;178;Mon Nov 15 00:00:00 CET 2010;328
Sat Nov 20 00:00:00 CET 2010;157;Tue Nov 16 00:00:00 CET 2010;332
Sun Nov 21 00:00:00 CET 2010;137;Wed Nov 17 00:00:00 CET 2010;331
Mon Nov 22 00:00:00 CET 2010;222;Thu Nov 18 00:00:00 CET 2010;353
Tue Nov 23 00:00:00 CET 2010;250;Fri Nov 19 00:00:00 CET 2010;354
Wed Nov 24 00:00:00 CET 2010;203;Mon Nov 22 00:00:00 CET 2010;371
Thu Nov 25 00:00:00 CET 2010;187;Tue Nov 23 00:00:00 CET 2010;323
Fri Nov 26 00:00:00 CET 2010;186;Wed Nov 24 00:00:00 CET 2010;317
Mon Nov 29 00:00:00 CET 2010;154;Thu Nov 25 00:00:00 CET 2010;303
Tue Nov 30 00:00:00 CET 2010;187;Fri Nov 26 00:00:00 CET 2010;326
Wed Dec 01 00:00:00 CET 2010;187;Mon Nov 29 00:00:00 CET 2010;331
Thu Dec 02 00:00:00 CET 2010;196;Tue Nov 30 00:00:00 CET 2010;332
Fri Dec 03 00:00:00 CET 2010;211;Wed Dec 01 00:00:00 CET 2010;333
Mon Dec 06 00:00:00 CET 2010;207;Thu Dec 02 00:00:00 CET 2010;339
Tue Dec 07 00:00:00 CET 2010;228;Fri Dec 03 00:00:00 CET 2010;339
Wed Dec 08 00:00:00 CET 2010;224;Mon Dec 06 00:00:00 CET 2010;376
Thu Dec 09 00:00:00 CET 2010;220;Tue Dec 07 00:00:00 CET 2010;354
Fri Dec 10 00:00:00 CET 2010;190;Wed Dec 08 00:00:00 CET 2010;337
Sat Dec 11 00:00:00 CET 2010;145;Thu Dec 09 00:00:00 CET 2010;312
Sun Dec 12 00:00:00 CET 2010;134;Fri Dec 10 00:00:00 CET 2010;287
Mon Dec 13 00:00:00 CET 2010;151;Sat Dec 11 00:00:00 CET 2010;272
Tue Dec 14 00:00:00 CET 2010;153;Mon Dec 13 00:00:00 CET 2010;289
Wed Dec 15 00:00:00 CET 2010;137;Tue Dec 14 00:00:00 CET 2010;285
Thu Dec 16 00:00:00 CET 2010;146;Wed Dec 15 00:00:00 CET 2010;282
Fri Dec 17 00:00:00 CET 2010;144;Thu Dec 16 00:00:00 CET 2010;283
Mon Dec 20 00:00:00 CET 2010;144;Fri Dec 17 00:00:00 CET 2010;283
Tue Dec 21 00:00:00 CET 2010;166;Mon Dec 20 00:00:00 CET 2010;285
Wed Dec 22 00:00:00 CET 2010;176;Tue Dec 21 00:00:00 CET 2010;286
Thu Dec 23 00:00:00 CET 2010;176;Wed Dec 22 00:00:00 CET 2010;279
Fri Dec 24 00:00:00 CET 2010;161;Thu Dec 23 00:00:00 CET 2010;274
Mon Dec 27 00:00:00 CET 2010;155;Fri Dec 24 00:00:00 CET 2010;260
Tue Dec 28 00:00:00 CET 2010;161;Mon Dec 27 00:00:00 CET 2010;264
Wed Dec 29 00:00:00 CET 2010;154;Tue Dec 28 00:00:00 CET 2010;254
Thu Dec 30 00:00:00 CET 2010;140;Wed Dec 29 00:00:00 CET 2010;252
Fri Dec 31 00:00:00 CET 2010;135;Sun Jan 02 00:00:00 CET 2011;245
Mon Jan 03 00:00:00 CET 2011;144;Mon Jan 03 00:00:00 CET 2011;262
Tue Jan 04 00:00:00 CET 2011;179;Tue Jan 04 00:00:00 CET 2011;308
Wed Jan 05 00:00:00 CET 2011;187;Wed Jan 05 00:00:00 CET 2011;294
Thu Jan 06 00:00:00 CET 2011;169;Thu Jan 06 00:00:00 CET 2011;284
Fri Jan 07 00:00:00 CET 2011;153;Fri Jan 07 00:00:00 CET 2011;279
Mon Jan 10 00:00:00 CET 2011;148;Sun Jan 09 00:00:00 CET 2011;264
Tue Jan 11 00:00:00 CET 2011;178;Mon Jan 10 00:00:00 CET 2011;300
Wed Jan 12 00:00:00 CET 2011;168;Tue Jan 11 00:00:00 CET 2011;297
Thu Jan 13 00:00:00 CET 2011;152;Wed Jan 12 00:00:00 CET 2011;269
Fri Jan 14 00:00:00 CET 2011;153;Thu Jan 13 00:00:00 CET 2011;266
Mon Jan 17 00:00:00 CET 2011;153;Fri Jan 14 00:00:00 CET 2011;269
Tue Jan 18 00:00:00 CET 2011;168;Mon Jan 17 00:00:00 CET 2011;286
Wed Jan 19 00:00:00 CET 2011;166;Tue Jan 18 00:00:00 CET 2011;288
Thu Jan 20 00:00:00 CET 2011;162;Wed Jan 19 00:00:00 CET 2011;286
Fri Jan 21 00:00:00 CET 2011;157;Thu Jan 20 00:00:00 CET 2011;316
Sat Jan 22 00:00:00 CET 2011;136;Fri Jan 21 00:00:00 CET 2011;308
Mon Jan 24 00:00:00 CET 2011;136;Sat Jan 22 00:00:00 CET 2011;296
Tue Jan 25 00:00:00 CET 2011;148;Mon Jan 24 00:00:00 CET 2011;325
Wed Jan 26 00:00:00 CET 2011;142;Tue Jan 25 00:00:00 CET 2011;332
Thu Jan 27 00:00:00 CET 2011;129;Wed Jan 26 00:00:00 CET 2011;326
Fri Jan 28 00:00:00 CET 2011;138;Thu Jan 27 00:00:00 CET 2011;318
Sun Jan 30 00:00:00 CET 2011;118;Fri Jan 28 00:00:00 CET 2011;328
Mon Jan 31 00:00:00 CET 2011;136;Sun Jan 30 00:00:00 CET 2011;313
Tue Feb 01 00:00:00 CET 2011;165;Mon Jan 31 00:00:00 CET 2011;335
Wed Feb 02 00:00:00 CET 2011;190;Tue Feb 01 00:00:00 CET 2011;350
Thu Feb 03 00:00:00 CET 2011;195;Wed Feb 02 00:00:00 CET 2011;344
Fri Feb 04 00:00:00 CET 2011;187;Thu Feb 03 00:00:00 CET 2011;319
Sat Feb 05 00:00:00 CET 2011;168;Fri Feb 04 00:00:00 CET 2011;308
