ID,Type,Created Date,Date From,Date To,Lead Time,Lines Added,Lines Modified,Lines Deleted,Team
19264.0, Bug , 2010-04-13 , 2010-04-13 , 2010-04-13 ,1.0,0.0,0.0,0.0,
19310.0, Bug , 2010-04-14 , 2010-04-14 , 2010-04-14 ,1.0,0.0,0.0,0.0,
19502.0, Bug , 2010-04-20 , 2010-04-20 , 2010-04-20 ,1.0,0.0,0.0,0.0,
19503.0, Bug , 2010-04-20 , 2010-04-20 , 2010-04-20 ,1.0,0.0,0.0,0.0,
20099.0, Bug , 2010-05-06 , 2010-05-06 , 2010-05-06 ,1.0,0.0,0.0,0.0,
20129.0, Bug , 2010-05-07 , 2010-05-07 , 2010-05-07 ,1.0,0.0,0.0,0.0,
20606.0, Bug , 2010-05-25 , 2010-05-26 , 2010-05-26 ,1.0,0.0,0.0,0.0,
20692.0, Bug , 2010-05-27 , 2010-05-28 , 2010-05-31 ,1.0,0.0,0.0,0.0,
20892.0, Bug , 2010-06-01 , 2010-06-01 , 2010-06-01 ,1.0,0.0,0.0,0.0,
20897.0, Bug , 2010-06-01 , 2010-06-01 , 2010-06-01 ,1.0,0.0,0.0,0.0,
20898.0, Bug , 2010-06-01 , 2010-06-01 , 2010-06-01 ,1.0,0.0,0.0,0.0,
21052.0, Bug , 2010-06-07 , 2010-06-07 , 2010-06-07 ,1.0,0.0,0.0,0.0,
21054.0, Bug , 2010-06-07 , 2010-06-07 , 2010-06-07 ,1.0,0.0,0.0,0.0,
21055.0, Bug , 2010-06-07 , 2010-06-07 , 2010-06-07 ,1.0,0.0,0.0,0.0,
21085.0, Bug , 2010-06-07 , 2010-06-08 , 2010-06-08 ,1.0,0.0,0.0,0.0,
21346.0, Bug , 2010-06-14 , 2010-06-14 , 2010-06-24 ,1.0,0.0,0.0,0.0,
21419.0, Bug , 2010-06-16 , 2010-07-01 , 2010-07-01 ,1.0,0.0,0.0,0.0,
21422.0, Bug , 2010-06-16 , 2010-06-16 , 2010-07-01 ,1.0,0.0,0.0,0.0,
21527.0, Bug , 2010-06-21 , 2010-06-21 , 2010-06-21 ,1.0,0.0,0.0,0.0,
21715.0, Bug , 2010-06-30 , 2010-06-30 , 2010-06-30 ,1.0,0.0,0.0,0.0,
23303.0, Bug , 2010-08-31 , 2010-08-31 , 2010-09-10 ,1.0,0.0,0.0,0.0,
23992.0, Bug , 2010-09-07 , 2010-09-08 , 2010-09-08 ,1.0,0.0,0.0,0.0,
25195.0, Bug , 2010-10-10 , 2010-10-10 , 2010-10-10 ,1.0,0.0,0.0,0.0,
29214.0, Bug , 2010-11-11 , 2010-11-11 , 2010-11-17 ,1.0,0.0,0.0,0.0,
