Neon,1-2009,0,1,1,0.0,100.0
Neon,2-2009,1,0,1,100.0,0.0
Neon,1-2010,2,2,4,50.0,50.0
Neon,2-2010,0,11,11,0.0,100.0
Neon,3-2010,30,23,53,56.60377358490566,43.39622641509434
Neon,4-2010,65,33,98,66.3265306122449,33.6734693877551
Neon,1-2011,101,13,114,88.59649122807018,11.403508771929824
Neon,2-2011,142,8,150,94.66666666666667,5.333333333333334
Neon,3-2011,87,24,111,78.37837837837837,21.62162162162162
Neon,4-2011,90,29,119,75.63025210084034,24.369747899159663
Neon,1-2012,94,23,117,80.34188034188034,19.65811965811966
Neon,2-2012,70,9,79,88.60759493670885,11.39240506329114
Neon,3-2012,146,5,151,96.68874172185431,3.3112582781456954
Neon,4-2012,100,3,103,97.0873786407767,2.912621359223301
Neon,1-2013,1,0,1,100.0,0.0
