13981,360,826,90,2009-4,06-11-2009,06-11-2011
19417,360,115,25,2010-2,19-04-2010,06-09-2010
19456,360,0,22,2010-2,19-04-2010,06-09-2010
19469,360,0,1,2010-2,19-04-2010,06-09-2010
19483,360,0,19,2010-2,19-04-2010,06-09-2010
19752,360,13,13,2010-2,27-04-2010,24-09-2010
22116,360,247,7,2010-3,19-07-2010,30-08-2010
22201,360,130,8,2010-3,20-07-2010,26-08-2010
22205,360,85,16,2010-3,20-07-2010,25-08-2010
22421,360,0,1,2010-3,27-07-2010,24-08-2010
22903,360,26,11,2010-3,16-08-2010,23-08-2010
22918,360,12,1,2010-3,17-08-2010,30-08-2010
23061,360,8,4,2010-3,24-08-2010,27-08-2010
23074,360,60,7,2010-3,25-08-2010,25-08-2010
23075,360,46,6,2010-3,25-08-2010,25-08-2010
23088,360,1,2,2010-3,25-08-2010,25-08-2010
23103,360,788,8,2010-3,26-08-2010,30-08-2010
23172,360,11,4,2010-3,27-08-2010,27-08-2010
23194,360,17,3,2010-3,30-08-2010,30-08-2010
23244,360,5,1,2010-3,30-08-2010,30-08-2010
23274,360,18,8,2010-3,31-08-2010,31-08-2010
23300,360,13,360,2010-3,31-08-2010,31-08-2010
23301,360,9,2,2010-3,31-08-2010,31-08-2010
24413,360,4,48,2010-3,17-09-2010,17-09-2010
27211,360,1,2,2010-4,02-11-2010,06-11-2011
27509,360,59,15,2010-4,03-11-2010,03-11-2010
28550,360,0,1,2010-4,09-11-2010,09-11-2010
32653,360,1,2,2010-4,03-12-2010,06-12-2010
40405,360,0,2,2011-1,20-01-2011,09-02-2011
40406,360,0,23,2011-1,20-01-2011,08-02-2011
40407,360,0,8,2011-1,20-01-2011,02-02-2011
40409,360,0,6,2011-1,20-01-2011,02-02-2011
40410,360,0,10,2011-1,20-01-2011,02-02-2011
40411,360,0,2,2011-1,20-01-2011,02-02-2011
40412,360,0,2,2011-1,20-01-2011,02-02-2011
40413,360,0,5,2011-1,20-01-2011,04-02-2011
40417,360,0,6,2011-1,20-01-2011,04-02-2011
40421,360,0,9,2011-1,20-01-2011,08-02-2011
40422,360,0,6,2011-1,20-01-2011,04-02-2011
40426,360,0,7,2011-1,20-01-2011,03-02-2011
40427,360,0,2,2011-1,20-01-2011,07-02-2011
40429,360,0,2,2011-1,20-01-2011,08-02-2011
40430,360,0,2,2011-1,20-01-2011,07-02-2011
40431,360,0,4,2011-1,20-01-2011,04-02-2011
40432,360,0,5,2011-1,20-01-2011,04-02-2011
40433,360,0,8,2011-1,20-01-2011,02-02-2011
40434,360,0,2,2011-1,20-01-2011,09-02-2011
40435,360,0,3,2011-1,20-01-2011,02-02-2011
40436,360,0,9,2011-1,20-01-2011,08-02-2011
40437,360,0,6,2011-1,20-01-2011,03-02-2011
40438,360,0,2,2011-1,20-01-2011,08-02-2011
40439,360,0,2,2011-1,20-01-2011,02-02-2011
40440,360,0,2,2011-1,20-01-2011,08-02-2011
40442,360,0,6,2011-1,20-01-2011,02-02-2011
40443,360,0,8,2011-1,20-01-2011,02-02-2011
40444,360,0,5,2011-1,20-01-2011,03-02-2011
40445,360,0,9,2011-1,20-01-2011,03-02-2011
40446,360,0,2,2011-1,20-01-2011,07-02-2011
40447,360,0,7,2011-1,20-01-2011,02-02-2011
40449,360,0,1,2011-1,20-01-2011,04-02-2011
40450,360,0,6,2011-1,20-01-2011,04-02-2011
40451,360,0,2,2011-1,20-01-2011,02-02-2011
40452,360,0,10,2011-1,20-01-2011,02-02-2011
40453,360,0,15,2011-1,20-01-2011,04-02-2011
40454,360,0,1,2011-1,20-01-2011,03-02-2011
40457,360,0,7,2011-1,20-01-2011,03-02-2011
43337,360,0,43,2011-1,04-02-2011,07-02-2011
51236,360,0,12,2011-1,17-03-2011,14-04-2011
51237,360,0,8,2011-1,17-03-2011,19-04-2011
51238,360,0,3,2011-1,17-03-2011,25-04-2011
51239,360,0,6,2011-1,17-03-2011,15-04-2011
51240,360,0,4,2011-1,17-03-2011,18-04-2011
51241,360,0,2,2011-1,17-03-2011,19-04-2011
51242,360,0,9,2011-1,17-03-2011,18-04-2011
51243,360,0,1,2011-1,17-03-2011,26-04-2011
51244,360,0,5,2011-1,17-03-2011,25-04-2011
51247,360,0,6,2011-1,17-03-2011,20-04-2011
51248,360,0,8,2011-1,17-03-2011,18-04-2011
51249,360,0,5,2011-1,17-03-2011,15-04-2011
51250,360,0,7,2011-1,17-03-2011,01-04-2011
51251,360,0,1,2011-1,17-03-2011,25-04-2011
51252,360,0,1,2011-1,17-03-2011,25-04-2011
51287,360,0,2,2011-1,17-03-2011,27-04-2011
52031,360,0,15,2011-1,21-03-2011,25-03-2011
