60980,360,0,2,2011-4,03-11-2011, Feature
60986,360,0,2,2011-4,03-11-2011, Feature
60988,360,0,2,2011-4,02-11-2011, Feature
61006,360,0,2,2011-4,02-11-2011, Feature
61016,360,0,2,2011-4,05-11-2011, Feature
62018,360,0,2,2011-4,02-11-2011, Bug
62028,360,0,2,2011-4,03-11-2011, Bug
62119,360,0,2,2011-4,07-11-2011, Feature
62121,360,0,2,2011-4,04-11-2011, Feature
62147,360,0,2,2011-4,05-11-2011, Feature
62155,360,0,2,2011-4,05-11-2011, Feature
62158,360,0,2,2011-4,05-11-2011, Feature
62164,360,0,2,2011-4,07-11-2011, Feature
62326,360,0,2,2011-4,08-11-2011, Bug
63881,360,0,2,2012-1,24-01-2012, Feature
63882,360,0,2,2012-1,23-01-2012, Feature
63884,360,0,2,2012-1,30-01-2012, Feature
63890,360,0,2,2012-1,01-02-2012, Feature
63891,360,0,2,2012-1,16-01-2012, Feature
63893,360,0,2,2012-1,16-01-2012, Feature
63895,360,0,2,2012-1,24-01-2012, Feature
63901,360,0,2,2012-1,19-01-2012, Feature
63910,360,0,2,2012-1,16-01-2012, Feature
63912,360,0,2,2012-1,30-01-2012, Feature
63915,360,0,2,2012-1,23-01-2012, Feature
63920,360,0,2,2012-1,30-01-2012, Feature
63933,360,0,2,2012-1,23-01-2012, Feature
63935,360,0,2,2012-1,17-01-2012, Feature
63939,360,0,2,2012-1,01-02-2012, Feature
63944,360,0,2,2012-1,18-01-2012, Feature
63984,360,0,2,2012-1,24-01-2012, Feature
64234,360,0,2,2012-1,02-02-2012, Feature
64237,360,0,2,2012-1,31-01-2012, Feature
64240,360,0,2,2012-1,16-01-2012, Feature
64242,360,0,2,2012-1,16-01-2012, Feature
64281,360,0,2,2012-1,31-01-2012, Feature
64368,360,0,2,2012-1,16-01-2012, Feature
64370,360,0,2,2012-1,19-01-2012, Feature
68205,360,0,2,2012-2,26-06-2012, Feature
68213,360,0,2,2012-2,18-06-2012, Feature
68218,360,0,2,2012-2,27-06-2012, Feature
68226,360,0,2,2012-2,28-06-2012, Feature
68232,360,0,2,2012-2,20-06-2012, Feature
68235,360,0,2,2012-2,15-06-2012, Feature
68236,360,0,2,2012-2,21-06-2012, Feature
68238,360,0,2,2012-2,28-06-2012, Feature
68242,360,0,2,2012-2,18-06-2012, Feature
68248,360,0,2,2012-2,26-06-2012, Feature
68250,360,0,2,2012-2,21-06-2012, Feature
68255,360,0,2,2012-2,18-06-2012, Feature
68258,360,0,2,2012-2,20-06-2012, Feature
68259,360,0,2,2012-2,28-06-2012, Feature
68266,360,0,2,2012-2,26-06-2012, Feature
68271,360,0,2,2012-2,19-06-2012, Feature
68274,360,0,2,2012-2,26-06-2012, Feature
68883,360,0,2,2012-2,20-06-2012, Feature
69036,360,0,2,2012-2,20-06-2012, Bug
69201,360,0,2,2012-2,26-06-2012, Bug
69206,360,0,2,2012-2,26-06-2012, Feature
69250,360,0,2,2012-2,27-06-2012, Feature
69353,360,0,2,2012-2,29-06-2012, Feature
69403,360,0,2,2012-3,01-07-2012, Feature
69404,360,0,2,2012-3,01-07-2012, Feature
69406,360,0,2,2012-3,01-07-2012, Feature
69408,360,0,2,2012-3,02-07-2012, Feature
69409,360,0,2,2012-3,01-07-2012, Feature
69424,360,0,2,2012-3,02-07-2012, Feature
69425,360,0,2,2012-3,02-07-2012, Feature
69427,360,0,2,2012-3,03-07-2012, Feature
69445,360,0,2,2012-3,03-07-2012, Feature
72664,360,0,2,2012-4,12-12-2012, Feature
72665,360,0,2,2012-4,12-12-2012, Feature
73046,360,0,2,2012-4,20-12-2012, Feature
73051,360,0,2,2012-4,19-12-2012, Feature
73974,360,0,2,2012-4,12-12-2012, Feature
74082,360,0,2,2012-4,12-12-2012, Feature
74132,360,0,2,2012-4,18-12-2012, Feature
74134,360,0,2,2012-4,12-12-2012, Feature
74137,360,0,2,2012-4,12-12-2012, Feature
74138,360,0,2,2012-4,12-12-2012, Feature
74141,360,0,2,2012-4,17-12-2012, Feature
74166,360,0,2,2012-4,12-12-2012, Feature
74168,360,0,2,2012-4,21-12-2012, Feature
74173,360,0,2,2012-4,17-12-2012, Feature
74176,360,0,2,2012-4,12-12-2012, Feature
74180,360,0,2,2012-4,18-12-2012, Feature
74184,360,0,2,2012-4,20-12-2012, Feature
74191,360,0,2,2012-4,12-12-2012, Feature
74196,360,0,2,2012-4,12-12-2012, Feature
74203,360,0,2,2012-4,12-12-2012, Feature
74239,360,0,2,2012-4,12-12-2012, Feature
74255,360,0,2,2012-4,12-12-2012, Feature
74282,360,0,2,2012-4,12-12-2012, Bug
74463,360,0,2,2012-4,18-12-2012, Feature
74469,360,0,2,2012-4,20-12-2012, Bug
74616,360,0,2,2012-4,29-12-2012, Bug
74621,360,0,2,2012-4,26-12-2012, Feature
75264,360,0,2,2013-1,21-01-2013, Test Case
75628,360,0,2,2013-1,04-02-2013, Test Case
75726,360,0,2,2013-1,04-02-2013, Test Case
77095,360,0,2,2013-1,18-03-2013, Test Case
77096,360,0,2,2013-1,18-03-2013, Test Case
77097,360,0,2,2013-1,18-03-2013, Test Case
77098,360,0,2,2013-1,18-03-2013, Test Case
77104,360,0,2,2013-1,18-03-2013, Test Case
77105,360,0,2,2013-1,18-03-2013, Test Case
77106,360,0,2,2013-1,18-03-2013, Test Case
77234,360,0,2,2013-1,27-03-2013, Test Case
77238,360,0,2,2013-1,27-03-2013, Test Case
77240,360,0,2,2013-1,27-03-2013, Test Case
77243,360,0,2,2013-1,27-03-2013, Test Case
77253,360,0,2,2013-1,27-03-2013, Test Case
77369,360,0,2,2013-1,27-03-2013, Test Case
77450,360,0,2,2013-2,02-04-2013, Bug
40435,360,0,3,2011-1,02-02-2011, Feature
51238,360,0,3,2011-2,25-04-2011, Feature
52035,360,0,3,2011-2,05-04-2011, Feature
52039,360,0,3,2011-2,05-04-2011, Feature
52066,360,0,3,2011-2,04-04-2011, Feature
52069,360,0,3,2011-2,04-04-2011, Feature
52073,360,0,3,2011-2,06-04-2011, Feature
52091,360,0,3,2011-2,25-04-2011, Feature
55502,360,0,3,2011-2,26-04-2011, Feature
55507,360,0,3,2011-2,06-04-2011, Bug
56832,360,0,3,2011-2,12-04-2011, Feature
57082,360,0,3,2011-2,02-05-2011, Feature
58365,360,0,3,2011-2,14-06-2011, Feature
58367,360,0,3,2011-2,14-06-2011, Feature
58368,360,0,3,2011-2,14-06-2011, Feature
58373,360,0,3,2011-2,14-06-2011, Feature
58374,360,0,3,2011-2,15-06-2011, Feature
60987,360,0,3,2011-4,19-10-2011, Feature
60994,360,0,3,2011-4,02-11-2011, Feature
60995,360,0,3,2011-4,19-10-2011, Feature
60999,360,0,3,2011-4,02-11-2011, Feature
61010,360,0,3,2011-4,31-10-2011, Feature
61452,360,0,3,2012-1,17-01-2012, Feature
61667,360,0,3,2011-4,02-11-2011, Feature
62122,360,0,3,2011-4,05-11-2011, Feature
62123,360,0,3,2011-4,05-11-2011, Feature
62124,360,0,3,2011-4,04-11-2011, Feature
62142,360,0,3,2011-4,05-11-2011, Feature
62150,360,0,3,2011-4,05-11-2011, Feature
62159,360,0,3,2011-4,07-11-2011, Feature
62677,360,0,3,2012-2,05-05-2012, Feature
63878,360,0,3,2012-1,23-01-2012, Feature
63879,360,0,3,2012-1,30-01-2012, Feature
63886,360,0,3,2012-1,16-01-2012, Feature
63888,360,0,3,2012-1,18-01-2012, Feature
63896,360,0,3,2012-1,25-01-2012, Feature
63897,360,0,3,2012-1,25-01-2012, Feature
63899,360,0,3,2012-1,25-01-2012, Feature
