4444,Krypton,324,23,2010-3,06-09-2010, Bug 
5213,Krypton,39,22,2010-4,06-10-2010, Bug 
19427,Krypton,12381,38,2010-3,28-09-2010, Feature 
19449,Krypton,198,36,2010-3,06-09-2010, Feature 
19450,Krypton,6,27,2010-4,10-11-2010, Feature 
19453,Krypton,788,21,2010-4,16-11-2010, Feature 
19460,Krypton,0,4,2010-4,28-10-2010, Feature 
19461,Krypton,0,6,2010-4,29-10-2010, Feature 
19463,Krypton,210,5,2010-4,28-10-2010, Feature 
19464,Krypton,3334,16,2010-4,11-11-2010, Feature 
19467,Krypton,0,79,2010-3,06-09-2010, Feature 
19470,Krypton,127,10,2010-4,17-11-2010, Feature 
19473,Krypton,7,1,2010-4,19-11-2010, Feature 
19474,Krypton,268,3,2010-4,19-11-2010, Feature 
19476,Krypton,1095,21,2010-4,12-10-2010, Feature 
19478,Krypton,0,39,2010-3,06-09-2010, Feature 
19479,Krypton,2846,25,2010-4,02-11-2010, Feature 
19480,Krypton,74,1,2010-4,19-11-2010, Feature 
19482,Krypton,751,14,2010-4,24-11-2010, Feature 
19484,Krypton,0,25,2010-3,06-09-2010, Feature 
19829,Krypton,0,1,2010-4,12-11-2010, Bug 
19931,Krypton,1928,4,2010-4,30-12-2010, Bug 
20610,Krypton,118,45,2010-3,27-09-2010, Feature 
20775,Krypton,0,45,2010-3,06-09-2010, Feature 
21897,Krypton,427,18,2010-3,06-09-2010, Bug 
22250,Krypton,416,1,2010-3,06-09-2010, Bug 
22853,Krypton,0,1,2010-4,24-11-2010, Bug 
22855,Krypton,0,1,2010-4,09-12-2010, Bug 
22856,Krypton,0,1,2010-4,26-11-2010, Bug 
22879,Krypton,0,1,2010-3,06-09-2010, Bug 
22881,Krypton,0,16,2010-3,09-09-2010, Bug 
22936,Krypton,0,1,2010-4,26-11-2010, Bug 
23012,Krypton,1,20,2010-4,13-10-2010, Bug 
23058,Krypton,10,2,2010-3,06-09-2010, Bug 
23275,Krypton,10,3,2010-3,06-09-2010, Bug 
23290,Krypton,10,71,2010-3,28-09-2010, Bug 
23306,Krypton,612,1,2010-3,24-09-2010, Feature 
23358,Krypton,2,4,2010-3,06-09-2010, Bug 
23378,Krypton,6,1,2010-3,06-09-2010, Bug 
23379,Krypton,7,1,2010-3,06-09-2010, Bug 
23440,Krypton,57,2,2010-4,16-11-2010, Bug 
23446,Krypton,6,15,2010-3,28-09-2010, Bug 
23451,Krypton,5,11,2010-3,20-09-2010, Feature 
23452,Krypton,586,11,2010-3,20-09-2010, Feature 
23453,Krypton,231,11,2010-3,20-09-2010, Feature 
23455,Krypton,237,3,2010-3,28-09-2010, Feature 
23456,Krypton,214,11,2010-3,20-09-2010, Feature 
23459,Krypton,496,10,2010-3,20-09-2010, Feature 
23464,Krypton,248,23,2010-3,08-09-2010, Feature 
24127,Krypton,260,1,2010-3,09-09-2010, Feature 
24128,Krypton,258,4,2010-3,10-09-2010, Feature 
24215,Krypton,647,8,2010-3,21-09-2010, Feature 
24280,Krypton,4785,42,2010-4,02-11-2010, Bug 
24281,Krypton,2586,1,2010-4,23-12-2010, Bug 
24284,Krypton,157,8,2010-4,20-10-2010, Feature 
24286,Krypton,118,8,2010-4,25-10-2010, Feature 
24403,Krypton,1496,17,2010-3,29-09-2010, Feature 
24404,Krypton,448,2,2010-4,13-10-2010, Feature 
24406,Krypton,448,1,2010-3,29-09-2010, Bug 
24614,Krypton,11,5,2010-3,23-09-2010, Bug 
24666,Krypton,36,4,2010-3,24-09-2010, Feature 
24668,Krypton,534,4,2010-3,24-09-2010, Feature 
24718,Krypton,4,1,2010-3,27-09-2010, Bug 
24736,Krypton,0,1,2010-3,28-09-2010, Bug 
