ID;Date From;Date To;Lead Time;Process Type;Type;Team
12763;2009-11-05;2009-11-05;12;Scrum;Bug;
12764;2009-10-12;2009-10-14;9;Scrum;Feature;
12806;2009-10-12;2009-10-12;1;Scrum;Bug;
12809;2009-12-09;2010-02-23;4;Scrum;Bug;
12810;2009-10-14;2009-10-15;1;Scrum;Bug;
12814;2009-10-07;2009-10-07;56;Scrum;Bug;
12816;2009-10-07;2009-10-07;55;Scrum;Bug;
12817;2009-10-07;2009-10-07;58;Scrum;Bug;
12818;2009-10-07;2009-10-08;55;Scrum;Bug;
12820;2009-10-07;2009-10-07;56;Scrum;Bug;
12825;2009-10-07;2009-12-10;1;Scrum;Feature;
12826;2009-10-07;2009-10-07;1;Scrum;Bug;
12857;2009-10-07;2009-10-07;27;Scrum;Bug;
12869;2009-10-07;2009-10-07;5;Scrum;Bug;
12877;2009-10-07;2009-10-07;6;Scrum;Bug;
12879;2009-10-12;2009-10-12;3;Scrum;Bug;
12899;2009-10-12;2009-10-12;11;Scrum;Bug;
12900;2010-02-24;2010-02-24;5;Scrum;Bug;
12901;2009-10-08;2009-10-09;6;Scrum;Bug;
12903;2009-10-08;2009-10-08;19;Scrum;Feature;
12915;2009-10-13;2009-12-10;1;Scrum;Feature;
12923;2009-11-03;2009-11-17;2;Scrum;Feature;
12926;2009-10-08;2009-10-08;1;Scrum;Bug;
12928;2009-12-09;2009-12-11;1;Scrum;Bug;
12937;2009-10-08;2009-10-08;1;Scrum;Bug;
12944;2009-10-08;2009-11-10;4;Scrum;Bug;
12949;2009-10-22;2009-11-09;156;Scrum;Feature;
12951;2009-10-09;2009-10-09;3;Scrum;Bug;
12957;2009-10-09;2009-10-09;40;Scrum;Bug;
12959;2009-10-09;2009-10-09;4;Scrum;Bug;
12968;2009-10-09;2009-10-09;16;Scrum;Bug;
12969;2010-02-12;2010-02-19;1;Scrum;Bug;
12971;2009-10-09;2009-10-09;18;Scrum;Bug;
12977;2009-11-05;2009-11-10;11;Scrum;Bug;
12983;2009-10-09;2009-10-09;3;Scrum;Bug;
12987;2009-10-14;2009-10-14;10;Scrum;Bug;
12989;2009-10-23;2009-12-11;1;Scrum;Bug;
12990;2011-08-05;2011-08-05;64;Kanban;Bug;Radon
12994;2009-12-01;2009-12-01;2;Scrum;Bug;
13006;2009-10-28;2009-10-28;33;Scrum;Feature;
13008;2009-10-12;2009-10-12;2;Scrum;Bug;
13012;2009-10-12;2009-10-12;2;Scrum;Feature;
13013;2009-10-15;2009-10-23;6;Scrum;Feature;
13014;2009-10-12;2009-10-13;16;Scrum;Feature;
13015;2009-10-12;2009-10-13;178;Scrum;Feature;
13017;2009-10-12;2009-10-12;2;Scrum;Bug;
13021;2009-10-12;2009-10-12;2;Scrum;Bug;
13022;2009-10-13;2009-10-15;36;Scrum;Feature;
13023;2009-10-12;2009-10-13;1;Scrum;Bug;
13024;2009-10-13;2009-10-14;1;Scrum;Bug;
13025;2009-10-20;2009-10-21;41;Scrum;Feature;
13026;2009-10-12;2009-10-12;17;Scrum;Feature;
13031;2009-10-12;2009-10-14;17;Scrum;Feature;
13035;2009-10-12;2009-10-12;1;Scrum;Bug;
13047;2009-10-12;2009-10-12;1;Scrum;Bug;
13048;2010-01-06;2010-01-06;22;Scrum;Feature;
13049;2009-10-20;2009-10-20;30;Scrum;Feature;
13050;2009-12-22;2009-12-22;53;Scrum;Bug;
13051;2009-10-12;2009-10-12;11;Scrum;Bug;
13062;2009-10-12;2009-10-12;1;Scrum;Bug;
13070;2009-10-12;2009-10-12;33;Scrum;Feature;
13074;2009-10-12;2009-10-12;10;Scrum;Bug;
13088;2009-10-12;2009-10-13;2;Scrum;Bug;
13090;2009-10-12;2009-10-12;22;Scrum;Feature;
13095;2009-10-12;2009-10-12;24;Scrum;Bug;
13100;2009-10-13;2009-10-13;8;Scrum;Bug;
13104;2009-10-12;2009-10-12;49;Scrum;Bug;
13107;2009-12-03;2009-12-04;5;Scrum;Bug;
13113;2009-10-13;2009-10-13;8;Scrum;Bug;
13137;2009-11-11;2009-11-11;22;Scrum;Bug;
13139;2009-10-13;2009-10-13;9;Scrum;Bug;
13145;2009-10-13;2009-10-13;48;Scrum;Bug;
13150;2009-10-14;2009-10-14;29;Scrum;Bug;
13152;2009-10-14;2009-10-14;10;Scrum;Bug;
13157;2009-10-14;2009-10-14;29;Scrum;Bug;
13159;2009-10-14;2009-10-14;2;Scrum;Feature;
13160;2009-10-14;2009-10-14;1;Scrum;Bug;
13163;2009-10-14;2009-10-14;1;Scrum;Bug;
13167;2009-10-14;2009-10-14;15;Scrum;Bug;
13172;2009-10-14;2009-10-14;17;Scrum;Feature;
13185;2009-11-03;2009-11-04;28;Scrum;Feature;
13195;2009-10-14;2009-10-14;1;Scrum;Bug;
13210;2009-10-15;2009-10-15;8;Scrum;Feature;
13213;2009-10-15;2009-10-15;33;Scrum;Bug;
