Krypton,15,22-12-2010,12,2010-4,Kanban
Krypton,16,23-12-2010,12,2010-4,Kanban
Krypton,13,24-12-2010,12,2010-4,Kanban
Krypton,12,25-12-2010,12,2010-4,Kanban
Krypton,12,26-12-2010,12,2010-4,Kanban
Krypton,12,27-12-2010,12,2010-4,Kanban
Krypton,12,28-12-2010,12,2010-4,Kanban
Krypton,12,29-12-2010,12,2010-4,Kanban
Krypton,14,30-12-2010,12,2010-4,Kanban
Krypton,14,31-12-2010,12,2010-4,Kanban
Krypton,14,01-01-2011,1,2011-1,Kanban
Krypton,14,02-01-2011,1,2011-1,Kanban
Krypton,16,03-01-2011,1,2011-1,Kanban
Krypton,21,04-01-2011,1,2011-1,Kanban
Krypton,21,05-01-2011,1,2011-1,Kanban
Krypton,16,06-01-2011,1,2011-1,Kanban
Krypton,14,07-01-2011,1,2011-1,Kanban
Krypton,10,08-01-2011,1,2011-1,Kanban
Krypton,10,09-01-2011,1,2011-1,Kanban
Krypton,11,10-01-2011,1,2011-1,Kanban
Krypton,12,11-01-2011,1,2011-1,Kanban
Krypton,12,12-01-2011,1,2011-1,Kanban
Krypton,11,13-01-2011,1,2011-1,Kanban
Krypton,11,14-01-2011,1,2011-1,Kanban
Krypton,10,15-01-2011,1,2011-1,Kanban
Krypton,10,16-01-2011,1,2011-1,Kanban
Krypton,13,17-01-2011,1,2011-1,Kanban
Krypton,15,18-01-2011,1,2011-1,Kanban
Krypton,13,19-01-2011,1,2011-1,Kanban
Krypton,9,20-01-2011,1,2011-1,Kanban
Krypton,8,21-01-2011,1,2011-1,Kanban
Krypton,7,22-01-2011,1,2011-1,Kanban
Krypton,7,23-01-2011,1,2011-1,Kanban
Krypton,8,24-01-2011,1,2011-1,Kanban
Krypton,12,25-01-2011,1,2011-1,Kanban
Krypton,13,26-01-2011,1,2011-1,Kanban
Krypton,11,27-01-2011,1,2011-1,Kanban
Krypton,13,28-01-2011,1,2011-1,Kanban
Krypton,10,29-01-2011,1,2011-1,Kanban
Krypton,8,30-01-2011,1,2011-1,Kanban
Krypton,11,31-01-2011,1,2011-1,Kanban
Krypton,14,01-02-2011,2,2011-1,Kanban
Krypton,14,02-02-2011,2,2011-1,Kanban
Krypton,14,03-02-2011,2,2011-1,Kanban
Krypton,17,04-02-2011,2,2011-1,Kanban
Krypton,13,05-02-2011,2,2011-1,Kanban
Krypton,10,06-02-2011,2,2011-1,Kanban
Krypton,23,07-02-2011,2,2011-1,Kanban
Krypton,25,08-02-2011,2,2011-1,Kanban
Krypton,18,09-02-2011,2,2011-1,Kanban
Krypton,19,10-02-2011,2,2011-1,Kanban
Krypton,16,11-02-2011,2,2011-1,Kanban
Krypton,13,12-02-2011,2,2011-1,Kanban
Krypton,10,13-02-2011,2,2011-1,Kanban
Krypton,11,14-02-2011,2,2011-1,Kanban
Krypton,16,15-02-2011,2,2011-1,Kanban
Krypton,19,16-02-2011,2,2011-1,Kanban
Krypton,19,17-02-2011,2,2011-1,Kanban
Krypton,13,18-02-2011,2,2011-1,Kanban
Krypton,6,19-02-2011,2,2011-1,Kanban
Krypton,6,20-02-2011,2,2011-1,Kanban
Krypton,8,21-02-2011,2,2011-1,Kanban
Krypton,12,22-02-2011,2,2011-1,Kanban
Krypton,17,23-02-2011,2,2011-1,Kanban
Krypton,13,24-02-2011,2,2011-1,Kanban
Krypton,13,25-02-2011,2,2011-1,Kanban
Krypton,10,26-02-2011,2,2011-1,Kanban
Krypton,10,27-02-2011,2,2011-1,Kanban
Krypton,10,28-02-2011,2,2011-1,Kanban
Krypton,11,01-03-2011,3,2011-1,Kanban
Krypton,8,02-03-2011,3,2011-1,Kanban
Krypton,14,03-03-2011,3,2011-1,Kanban
Krypton,16,04-03-2011,3,2011-1,Kanban
Krypton,13,05-03-2011,3,2011-1,Kanban
Krypton,13,06-03-2011,3,2011-1,Kanban
Krypton,16,07-03-2011,3,2011-1,Kanban
Krypton,18,08-03-2011,3,2011-1,Kanban
Krypton,18,09-03-2011,3,2011-1,Kanban
Krypton,18,10-03-2011,3,2011-1,Kanban
Krypton,19,11-03-2011,3,2011-1,Kanban
Krypton,18,12-03-2011,3,2011-1,Kanban
Krypton,18,13-03-2011,3,2011-1,Kanban
Krypton,18,14-03-2011,3,2011-1,Kanban
Krypton,20,15-03-2011,3,2011-1,Kanban
Krypton,22,16-03-2011,3,2011-1,Kanban
Krypton,23,17-03-2011,3,2011-1,Kanban
Krypton,23,18-03-2011,3,2011-1,Kanban
Krypton,20,19-03-2011,3,2011-1,Kanban
Krypton,20,20-03-2011,3,2011-1,Kanban
Krypton,20,21-03-2011,3,2011-1,Kanban
Krypton,23,22-03-2011,3,2011-1,Kanban
Krypton,25,23-03-2011,3,2011-1,Kanban
Krypton,16,24-03-2011,3,2011-1,Kanban
Krypton,13,25-03-2011,3,2011-1,Kanban
Krypton,13,26-03-2011,3,2011-1,Kanban
Krypton,13,27-03-2011,3,2011-1,Kanban
Krypton,23,28-03-2011,3,2011-1,Kanban
Krypton,26,29-03-2011,3,2011-1,Kanban
Krypton,25,30-03-2011,3,2011-1,Kanban
Krypton,25,31-03-2011,3,2011-1,Kanban
Krypton,19,01-04-2011,4,2011-2,Kanban
Krypton,12,02-04-2011,4,2011-2,Kanban
Krypton,11,03-04-2011,4,2011-2,Kanban
Krypton,15,04-04-2011,4,2011-2,Kanban
Krypton,14,05-04-2011,4,2011-2,Kanban
Krypton,6,06-04-2011,4,2011-2,Kanban
Krypton,8,07-04-2011,4,2011-2,Kanban
Krypton,8,08-04-2011,4,2011-2,Kanban
Krypton,8,09-04-2011,4,2011-2,Kanban
Krypton,8,10-04-2011,4,2011-2,Kanban
Krypton,12,11-04-2011,4,2011-2,Kanban
Krypton,12,12-04-2011,4,2011-2,Kanban
Krypton,9,13-04-2011,4,2011-2,Kanban
Krypton,9,14-04-2011,4,2011-2,Kanban
Krypton,9,15-04-2011,4,2011-2,Kanban
Krypton,8,16-04-2011,4,2011-2,Kanban
Krypton,8,17-04-2011,4,2011-2,Kanban
Krypton,8,18-04-2011,4,2011-2,Kanban
Krypton,8,19-04-2011,4,2011-2,Kanban
Krypton,8,20-04-2011,4,2011-2,Kanban
Krypton,8,21-04-2011,4,2011-2,Kanban
Krypton,8,22-04-2011,4,2011-2,Kanban
Krypton,8,23-04-2011,4,2011-2,Kanban
Krypton,8,24-04-2011,4,2011-2,Kanban
Krypton,8,25-04-2011,4,2011-2,Kanban
Krypton,8,26-04-2011,4,2011-2,Kanban
Krypton,12,27-04-2011,4,2011-2,Kanban
Krypton,12,28-04-2011,4,2011-2,Kanban
Krypton,12,29-04-2011,4,2011-2,Kanban
Krypton,10,30-04-2011,4,2011-2,Kanban
Krypton,10,01-05-2011,5,2011-2,Kanban
Krypton,10,02-05-2011,5,2011-2,Kanban
Krypton,10,03-05-2011,5,2011-2,Kanban
Krypton,10,04-05-2011,5,2011-2,Kanban
Krypton,8,05-05-2011,5,2011-2,Kanban
Krypton,4,06-05-2011,5,2011-2,Kanban
Krypton,3,07-05-2011,5,2011-2,Kanban
Krypton,3,08-05-2011,5,2011-2,Kanban
Krypton,7,09-05-2011,5,2011-2,Kanban
Krypton,9,10-05-2011,5,2011-2,Kanban
Krypton,9,11-05-2011,5,2011-2,Kanban
Krypton,12,12-05-2011,5,2011-2,Kanban
Krypton,15,13-05-2011,5,2011-2,Kanban
